,at,v,ap,rh,pe
0,8.34,40.77,1010.84,90.01,480.48
1,29.74,56.9,1007.15,41.91,438.76
2,19.07,49.69,1007.22,76.79,453.09
3,11.8,40.66,1017.13,97.2,464.43
4,13.97,39.16,1016.05,84.6,470.96
5,22.1,71.29,1008.2,75.38,442.35
6,14.47,41.76,1021.98,78.41,464.0
7,31.25,69.51,1010.25,36.83,428.77
8,6.77,38.18,1017.8,81.13,484.31
9,28.28,68.67,1006.36,69.9,435.29
10,22.99,46.93,1014.15,49.42,451.41
11,29.3,70.04,1010.95,61.23,426.25
12,8.14,37.49,1009.04,80.33,480.66
13,16.92,44.6,1017.34,58.75,460.17
14,22.72,64.15,1021.14,60.34,453.13
15,18.14,43.56,1012.83,47.1,461.71
16,11.49,44.63,1020.44,86.04,471.08
17,9.94,40.46,1018.9,68.51,473.74
18,23.54,41.1,1002.05,38.05,448.56
19,14.9,52.05,1015.11,77.33,464.82
20,33.8,64.96,1004.88,49.37,427.28
21,25.37,68.31,1011.12,70.99,441.76
22,7.29,41.04,1024.06,89.19,474.71
23,13.55,40.71,1019.13,75.44,467.21
24,6.39,35.57,1025.53,77.23,487.69
25,26.64,62.44,1011.81,72.46,438.67
26,7.84,41.39,1018.21,91.92,485.66
27,21.82,58.66,1011.71,64.37,452.16
28,27.17,67.45,1015.67,49.03,429.87
29,13.42,41.23,994.17,95.79,468.82
30,20.77,56.85,1012.4,83.63,442.85
31,8.29,36.08,1020.38,81.53,483.26
32,30.98,67.45,1015.18,45.4,433.59
33,31.96,71.29,1008.39,47.51,433.04
34,15.83,52.75,1024.3,58.34,458.6
35,22.56,70.79,1005.85,93.09,435.14
36,25.91,75.6,1018.23,62.65,443.2
37,8.24,39.61,1017.99,78.42,477.9
38,24.66,60.29,1018.0,59.56,445.26
39,29.31,68.67,1006.18,63.38,435.57
40,21.48,66.91,1008.58,84.49,447.42
41,18.28,44.71,1016.99,33.71,462.28
42,26.96,65.34,1015.05,46.93,441.81
43,16.01,65.46,1014.0,87.68,454.16
44,27.37,63.73,1009.79,65.25,437.24
45,16.3,39.63,1004.64,85.61,464.11
